Question,Answers,Comment,Instruction,Render as
上,"ジョウ, ショウ, シャン, あ, のぼ",above,Write this word in kana.,Image
達,"タツ, タッ, たち, だち",accomplished,Write this word in kana.,Image
酒,"シュ, さけ, さか",alcohol,Write this word in kana.,Image
仕,"シ, ジ, つか",attend,Write this word in kana.,Image
秋,"シュウ, あき",autumn,Write this word in kana.,Image
鞄,"ハク, ホウ, ビョウ, かばん",bag,Write this word in kana.,Image
先,"セン, さき",before,Write this word in kana.,Image
元,"ゲン, ガン, もと",beginning,Write this word in kana.,Image
後,"ゴ, コウ, うし, おく, のち, あと",behind,Write this word in kana.,Image
下,"カ, ゲ, した, お, さ",below,Write this word in kana.,Image
鳥,"チョウ, とり",bird,Write this word in kana.,Image
本,"ホン, ポン, もと",book,Write this word in kana.,Image
館,"カン, たて",building,Write this word in kana.,Image
用,"ヨウ, もち",business,Write this word in kana.,Image
忙,"ボウ, いそが",busy,Write this word in kana.,Image
買,"バイ, か",buy,Write this word in kana.,Image
飴,"イ, シ, あめ, よしな",candy,Write this word in kana.,Image
京,"キョウ, ケイ, たか",capital,Write this word in kana.,Image
車,"シャ, くるま",car,Write this word in kana.,Image
猫,"ビョウ, ねこ",cat,Write this word in kana.,Image
椅,イ,chair,Write this word in kana.,Image
字,"ジ, あざ",character,Write this word in kana.,Image
子,"ス, シ, ツ, こ, ね",child,Write this word in kana.,Image
箸,"チョ, チャク, はし",chopsticks,Write this word in kana.,Image
円,"エン, まる, まど",circle,Write this word in kana.,Image
寒,"カン, さむ",cold,Write this word in kana.,Image
来,"ライ, く",come,Write this word in kana.,Image
社,"シャ, やしろ",company,Write this word in kana.,Image
喫,"キツ, キッ",consume,Write this word in kana.,Image
冷,"レイ, つめ, ひ, さ",cool,Write this word in kana.,Image
国,"コク, くに",country,Write this word in kana.,Image
庭,"テイ, にわ",courtyard,Write this word in kana.,Image
牛,"ギュウ, うし",cow,Write this word in kana.,Image
紅,"コウ, ク, べに, くれない, あか",crimson,Write this word in kana.,Image
科,"カ, しな",department,Write this word in kana.,Image
留,"リュウ, ル, と, ど, とど",detain,Write this word in kana.,Image
難,"ナン, むずか, にく",difficult,Write this word in kana.,Image
方,"ホウ, ポウ, かた, がた",direction,Write this word in kana.,Image
遠,"エン, オン, とお",distant,Write this word in kana.,Image
犬,"ケン, いぬ",dog,Write this word in kana.,Image
博,"ハク, バク, ぐれ, と, はか, ひろ",dr.,Write this word in kana.,Image
飲,"イン, の",drink,Write this word in kana.,Image
耳,"ジ, みみ",ear,Write this word in kana.,Image
早,"ソウ, サ, はや",early,Write this word in kana.,Image
東,"トウ, ひがし",east,Write this word in kana.,Image
食,"ショク, た",eat,Write this word in kana.,Image
卵,"ラン, たまご",egg,Write this word in kana.,Image
八,"ハチ, や, やっ, よう",eight,Write this word in kana.,Image
兄,"キョウ, ケイ, あに, にい",elder brother,Write this word in kana.,Image
姉,"シ, あね, ねえ",elder sister,Write this word in kana.,Image
電,デン,electric,Write this word in kana.,Image
趣,"シュ, おもむき",elegance,Write this word in kana.,Image
発,"ハツ, ハッ, パツ, た",emit,Write this word in kana.,Image
空,"クウ, あ, そら",empty,Write this word in kana.,Image
英,エイ,england,Write this word in kana.,Image
入,"ニュウ, ジュ, い, はい",enter,Write this word in kana.,Image
毎,"マイ, ごと",every,Write this word in kana.,Image
出,"シュツ, シュッ, で, だ, い",exit,Write this word in kana.,Image
消,"ショウ, き, け",extinguish,Write this word in kana.,Image
目,"モク, ボク, め, ま",eye,Write this word in kana.,Image
父,"フ, ちち",father,Write this word in kana.,Image
少,"ショウ, すこ, すく",few,Write this word in kana.,Image
火,"カ, ひ, び",fire,Write this word in kana.,Image
初,"ショ, ぞ, はじ",first time,Write this word in kana.,Image
魚,"ギョ, さかな, ざかな",fish,Write this word in kana.,Image
五,"ゴ, いつ",five,Write this word in kana.,Image
味,"ミ, あじ",flavour,Write this word in kana.,Image
花,"-, はな, ばな",flower,Write this word in kana.,Image
飛,"ヒ, と",fly,Write this word in kana.,Image
好,"コウ, この, す, よ",fond,Write this word in kana.,Image
忘,"ボウ, わす",forget,Write this word in kana.,Image
四,"シ, よ, よん, よっ",four,Write this word in kana.,Image
鮮,"セン, あざ",fresh,Write this word in kana.,Image
友,"ユウ, とも",friend,Write this word in kana.,Image
果,"クダ, カ, は",fruit,Write this word in kana.,Image
行,"コウ, ギョウ, アン, い, ゆ, おこな",going,Write this word in kana.,Image
金,"キン, コン, ゴン, かね, がね, かな",gold,Write this word in kana.,Image
地,"ジ, チ, どま",ground,Write this word in kana.,Image
半,"ハン, なか",half,Write this word in kana.,Image
手,"シュ, ズ, て, た",hand,Write this word in kana.,Image
聞,"ブン, モン, き",hear,Write this word in kana.,Image
心,"シン, こころ",heart,Write this word in kana.,Image
熱,"ネツ, ネッ, あつ",heat,Write this word in kana.,Image
暑,"ショ, あつ",hot,Write this word in kana.,Image
時,"ジ, とき, どき",hour,Write this word in kana.,Image
