Question,Answers,Comment,Instruction,Render as
手が早い,てがはやい,being quick at working [adjective (い)],Write this word in kana.,Image
耳が早い,みみがはやい,being sharp-eared [adjective (い)],Write this word in kana.,Image
気が早い,キがはやい,being short tempered [adjective (い)],Write this word in kana.,Image
大きい,おおきい,big [adjective (い)],Write this word in kana.,Image
忙しい,いそがしい,busy [adjective (い)],Write this word in kana.,Image
安い,やすい,cheap [adjective (い)],Write this word in kana.,Image
冷たい,つめたい,cold (thing) [adjective (い)],Write this word in kana.,Image
寒い,さむい,cold (weather) [adjective (い)],Write this word in kana.,Image
赤い/紅い,あかい,crimson [adjective (い)],Write this word in kana.,Image
難しい,むずかしい,difficult [adjective (い)],Write this word in kana.,Image
楽しい,たのしい,enjoyable [adjective (い)],Write this word in kana.,Image
遠い,とおい,far [adjective (い)],Write this word in kana.,Image
早い/速い,はやい,fast [adjective (い)],Write this word in kana.,Image
忘れっぽい,わすれっぽい,forgetful [adjective (い)],Write this word in kana.,Image
言うまでもない,いうまでもない,goes without saying [adjective (い)],Write this word in kana.,Image
良い/好い,よい,good [adjective (い)],Write this word in kana.,Image
高い,たかい,high [adjective (い)],Write this word in kana.,Image
熱い,あつい,hot (thing) [adjective (い)],Write this word in kana.,Image
暑い,あつい,hot (weather) [adjective (い)],Write this word in kana.,Image
長い,ながい,long [adjective (い)],Write this word in kana.,Image
多い,おおい,many [adjective (い)],Write this word in kana.,Image
新しい,あたらしい,new [adjective (い)],Write this word in kana.,Image
古い,ふるい,old [adjective (い)],Write this word in kana.,Image
少ない,すくない,scarce [adjective (い)],Write this word in kana.,Image
遅い,おそい,slow [adjective (い)],Write this word in kana.,Image
小さい,ちいさい,small [adjective (い)],Write this word in kana.,Image
明るい,あかるい,well-lit [adjective (い)],Write this word in kana.,Image
白い,しろい,white [adjective (い)],Write this word in kana.,Image
大人,"ダイニン, おとな",adult [adjective (な)],Write this word in kana.,Image
大きな,おおきな,big [adjective (な)],Write this word in kana.,Image
新鮮,シンセン,fresh [adjective (な)],Write this word in kana.,Image
元気,ゲンキ,lively [adjective (な)],Write this word in kana.,Image
大好き,ダイすき,loveable [adjective (な)],Write this word in kana.,Image
新た,あらた,new [adjective (な)],Write this word in kana.,Image
明らか,あきらか,obvious [adjective (な)],Write this word in kana.,Image
安心,アンシン,relief [adjective (な)],Write this word in kana.,Image
上手,ジョウズ,skilled [adjective (な)],Write this word in kana.,Image
小さな,ちいさな,small [adjective (な)],Write this word in kana.,Image
鮮やか,あざやか,vivid [adjective (な)],Write this word in kana.,Image
熱心,ネッシン,zealous [adjective (な)],Write this word in kana.,Image
一日中,イチニチジュウ,all day long [adverb],Write this word in kana.,Image
何も,なにも,anything [adverb],Write this word in kana.,Image
少しも,すこしも,anything of [adverb],Write this word in kana.,Image
手元,てもと,at hand [adverb],Write this word in kana.,Image
早く,はやく,early [adverb],Write this word in kana.,Image
大いに,おおいに,much [adverb],Write this word in kana.,Image
多分,タブン,probably [adverb],Write this word in kana.,Image
何か,なにか,something [adverb],Write this word in kana.,Image
今まで,いままで,until now [adverb],Write this word in kana.,Image
何と,なんと,what [adverb],Write this word in kana.,Image
一歩,イッポ,a step [noun],Write this word in kana.,Image
年間,ネンカン,a year [noun],Write this word in kana.,Image
飛行機,ヒコウキ,aeroplane [noun],Write this word in kana.,Image
傘下,サンカ,affiliated with [noun],Write this word in kana.,Image
午後,ゴゴ,"afternoon, p.m. [noun]",Write this word in kana.,Image
空気,クウキ,air [noun],Write this word in kana.,Image
お酒/御酒,おさけ,alcohol [noun],Write this word in kana.,Image
売り上げ,うりあげ,amount sold [noun],Write this word in kana.,Image
発表,ハッピョウ,announcement [noun],Write this word in kana.,Image
答え,こたえ,answer [noun],Write this word in kana.,Image
安楽椅子,アンラクイス,armchair [noun],Write this word in kana.,Image
足元,あしもと,at one's feet [noun],Write this word in kana.,Image
大西洋,タイセイヨウ,atlantic ocean [noun],Write this word in kana.,Image
筆者,ヒッシャ,author [noun],Write this word in kana.,Image
秋風,"あきかぜ, シュウフウ",autumn breeze [noun],Write this word in kana.,Image
紅葉,コウヨウ,autumn colours [noun],Write this word in kana.,Image
赤ちゃん,あかちゃん,baby [noun],Write this word in kana.,Image
後ろ,うしろ,back [noun],Write this word in kana.,Image
銀行,ギンコウ,bank [noun],Write this word in kana.,Image
電池,デンチ,battery [noun],Write this word in kana.,Image
牛肉,ギュウニク,beef [noun],Write this word in kana.,Image
初心者,ショシンシャ,beginner [noun],Write this word in kana.,Image
熱中,ネッチュウ,being enthusiastic [noun],Write this word in kana.,Image
自転車,ジテンシャ,bicycle [noun],Write this word in kana.,Image
紅茶,コウチャ,black tea [noun],Write this word in kana.,Image
本屋,ホンや,bookshop [noun],Write this word in kana.,Image
書店,ショテン,bookstore [noun],Write this word in kana.,Image
男の子,おとこのこ,boy [noun],Write this word in kana.,Image
兄弟,キョウテイ,brothers [noun],Write this word in kana.,Image
多忙,タボウ,busyness [noun],Write this word in kana.,Image
買い手,かいて,buyer [noun],Write this word in kana.,Image
鶏肉/鳥肉,"とりニク, チョウにく",chicken meat [noun],Write this word in kana.,Image
寒気,さむケ,chill [noun],Write this word in kana.,Image
映画館,エイガカン,cinema [noun],Write this word in kana.,Image
寒風,カンプウ,cold wind [noun],Write this word in kana.,Image
友達,ともだち,companion [noun],Write this word in kana.,Image
会社,カイシャ,company [noun],Write this word in kana.,Image
千秋楽,センシュウラク,concluding festivities [noun],Write this word in kana.,Image
田園,デンエン,countryside [noun],Write this word in kana.,Image
遅れ/後れ,おくれ,delay [noun],Write this word in kana.,Image
歯医者,はイシャ,dentist [noun],Write this word in kana.,Image
出発,シュッパツ,departure [noun],Write this word in kana.,Image
行き先,いきさき,destination [noun],Write this word in kana.,Image
言葉,ことば,dialect [noun],Write this word in kana.,Image
辞書,ジショ,dictionary [noun],Write this word in kana.,Image
数字,スウジ,digit [noun],Write this word in kana.,Image
発見,ハッケン,discovery [noun],Write this word in kana.,Image
医者,イシャ,doctor [noun],Write this word in kana.,Image
飲み物,のみもの,drink [noun],Write this word in kana.,Image
飲酒,インシュ,drinking alcohol [noun],Write this word in kana.,Image
人々,ひとびと,each person [noun],Write this word in kana.,Image
卵白,ランパク,egg-white [noun],Write this word in kana.,Image
八日,ようか,eight days [noun],Write this word in kana.,Image
お兄さん,おにいさん,elder brother [noun],Write this word in kana.,Image
お姉さん,おねえさん,elder sister [noun],Write this word in kana.,Image
電灯,デントウ,electric light [noun],Write this word in kana.,Image
電車,デンシャ,electric train [noun],Write this word in kana.,Image
電気,デンキ,electricity [noun],Write this word in kana.,Image
英語,エイゴ,english [noun],Write this word in kana.,Image
毎日,マイニチ,every day [noun],Write this word in kana.,Image
毎晩,マイバン,every evening [noun],Write this word in kana.,Image
毎月,"マイゲツ, マイつき",every month [noun],Write this word in kana.,Image
毎朝,"マイチョウ, マイあさ",every morning [noun],Write this word in kana.,Image
毎夜,マイよ,every night [noun],Write this word in kana.,Image
毎週,マイシュウ,every week [noun],Write this word in kana.,Image
毎年,"マイネン, マイとし",every year [noun],Write this word in kana.,Image
出口,でぐち,exit [noun],Write this word in kana.,Image
遠く,とおく,far away [noun],Write this word in kana.,Image
田んぼ,たんぼ,farm [noun],Write this word in kana.,Image
気分,キブン,feeling [noun],Write this word in kana.,Image
火事,カジ,fire [noun],Write this word in kana.,Image
花火,はなび,firework [noun],Write this word in kana.,Image
初日,"ショニチ, ショジツ",first day [noun],Write this word in kana.,Image
名前,なまえ,first name [noun],Write this word in kana.,Image
五日,いつか,five days [noun],Write this word in kana.,Image
食べ物,たべもの,food [noun],Write this word in kana.,Image
初めて,はじめて,for the first time [noun],Write this word in kana.,Image
海外,カイガイ,foreign [noun],Write this word in kana.,Image
外銀,ガイギン,foreign bank [noun],Write this word in kana.,Image
外国,ガイコク,foreign country [noun],Write this word in kana.,Image
外国語,ガイコクゴ,foreign language [noun],Write this word in kana.,Image
外国人,ガイコクジン,foreigner [noun],Write this word in kana.,Image
四日,よっか,four days [noun],Write this word in kana.,Image
金曜日,キンヨウび,friday [noun],Write this word in kana.,Image
友人,ユウジン,friend [noun],Write this word in kana.,Image
今後,コンゴ,from now on [noun],Write this word in kana.,Image
果物,クダもの,fruit [noun],Write this word in kana.,Image
庭園,テイエン,garden [noun],Write this word in kana.,Image
春雨,はるさめ,gentle spring rain [noun],Write this word in kana.,Image
女の子,おんなのこ,girl [noun],Write this word in kana.,Image
金魚,キンギョ,goldfish [noun],Write this word in kana.,Image
英国,エイコク,great britain [noun],Write this word in kana.,Image
半分,ハンブン,half [noun],Write this word in kana.,Image
暑気,ショキ,heatstroke [noun],Write this word in kana.,Image
天人,テンニン,heavenly being [noun],Write this word in kana.,Image
大雨,おおあめ,heavy rain [noun],Write this word in kana.,Image
大雪,おおゆき,heavy snow [noun],Write this word in kana.,Image
高校,コウコウ,high school [noun],Write this word in kana.,Image
趣味,シュミ,hobby [noun],Write this word in kana.,Image
北海道,ホッカイドウ,hokkaido [noun],Write this word in kana.,Image
休日,キュウジツ,holiday [noun],Write this word in kana.,Image
地元,ジもと,home area [noun],Write this word in kana.,Image
病院,ビョウイン,hospital [noun],Write this word in kana.,Image
寒暑,カンショ,hot and cold [noun],Write this word in kana.,Image
音楽家,オンガクカ,house [noun],Write this word in kana.,Image
家庭,カテイ,household [noun],Write this word in kana.,Image
何歳,なんサイ,how old? [noun],Write this word in kana.,Image
人間,ニンゲン,human being [noun],Write this word in kana.,Image
人生,ジンセイ,human life [noun],Write this word in kana.,Image
百日,ヒャクニチ,hundred days [noun],Write this word in kana.,Image
小屋,"こや, ショウオク",hut [noun],Write this word in kana.,Image
駅前,エキまえ,in front of a station [noun],Write this word in kana.,Image
赤字,あかジ,in red [noun],Write this word in kana.,Image
発明,ハツメイ,invention [noun],Write this word in kana.,Image
日本,"ニホン, ニッポン",japan [noun],Write this word in kana.,Image
日本語,"ニホンゴ, ニッポンゴ",japanese [noun],Write this word in kana.,Image
少年,ショウネン,juvenile [noun],Write this word in kana.,Image
台所,ダイどころ,kitchen [noun],Write this word in kana.,Image
子猫,こねこ,kitten [noun],Write this word in kana.,Image
京都,キョウト,kyoto [noun],Write this word in kana.,Image
乳糖,ニュウトウ,lactose [noun],Write this word in kana.,Image
言語,ゲンゴ,language [noun],Write this word in kana.,Image
先月,センゲツ,last month [noun],Write this word in kana.,Image
先週,センシュウ,last week [noun],Write this word in kana.,Image
昨週,サクシュウ,last week [noun],Write this word in kana.,Image
昨年,サクネン,last year [noun],Write this word in kana.,Image
文字,モジ,letter [noun],Write this word in kana.,Image
図書館,トショカン,library [noun],Write this word in kana.,Image
明り,あかり,light [noun],Write this word in kana.,Image
小雪,こゆき,light snow [noun],Write this word in kana.,Image
文学,ブンガク,literature [noun],Write this word in kana.,Image
忘れ物,わすれもの,lost item [noun],Write this word in kana.,Image
下町,したまち,low-lying part of city [noun],Write this word in kana.,Image
